rank	word	freq	cum_freq	cum_pct
1	的	237818	237818	4.2918
2	我	231119	468937	8.4626
3	你	208143	677080	12.2189
4	了	204062	881142	15.9015
5	是	106177	987319	17.8176
6	啊	75782	1063101	19.1852
7	不	65338	1128439	20.3643
8	好	54556	1182995	21.3488
9	都	54511	1237506	22.3326
10	就	54245	1291751	23.3115
11	也	51115	1342866	24.2339
12	在	43985	1386851	25.0277
13	有	38681	1425532	25.7258
14	去	38355	1463887	26.4179
15	吧	37628	1501515	27.0970
16	吗	33792	1535307	27.7068
17	还	33480	1568787	28.3110
18	说	32598	1601385	28.8993
19	没	29989	1631374	29.4405
20	要	29449	1660823	29.9719
21	那	26496	1687319	30.4501
22	吃	23971	1711290	30.8827
23	呢	23850	1735140	31.3131
24	看	22512	1757652	31.7193
25	什么	22299	1779951	32.1218
26	想	21714	1801665	32.5136
27	哈哈	21206	1822871	32.8963
28	很	20391	1843262	33.2643
29	可以	20179	1863441	33.6285
30	人	20132	1883573	33.9918
31	啦	20048	1903621	34.3536
32	不是	19384	1923005	34.7034
33	这	19365	1942370	35.0528
34	哈哈哈	19277	1961647	35.4007
35	没有	19142	1980789	35.7462
36	来	18937	1999726	36.0879
37	给	18671	2018397	36.4249
38	我们	17951	2036348	36.7488
39	就是	17667	2054015	37.0676
40	么	17272	2071287	37.3793
41	知道	17200	2088487	37.6897
42	他	17064	2105551	37.9977
43	嗯	16566	2122117	38.2966
44	呀	16047	2138164	38.5862
45	对	15654	2153818	38.8687
46	现在	15351	2169169	39.1458
47	一个	15243	2184412	39.4208
48	自己	15234	2199646	39.6958
49	怎么	15213	2214859	39.9703
50	会	14970	2229829	40.2404
51	哦	14835	2244664	40.5082
52	还是	14592	2259256	40.7715
53	又	14249	2273505	41.0286
54	多	13914	2287419	41.2797
55	和	13737	2301156	41.5276
56	到	13650	2314806	41.7740
57	这个	13271	2328077	42.0135
58	喜欢	12590	2340667	42.2407
59	这么	12361	2353028	42.4637
60	嘛	11431	2364459	42.6700
61	真的	11206	2375665	42.8723
62	能	11023	2386688	43.0712
63	觉得	10802	2397490	43.2661
64	时候	10784	2408274	43.4607
65	你们	10499	2418773	43.6502
66	过	10182	2428955	43.8340
67	才	9943	2438898	44.0134
68	买	9921	2448819	44.1924
69	着	9914	2458733	44.3713
70	今天	9857	2468590	44.5492
71	等	9627	2478217	44.7230
72	她	9539	2487756	44.8951
73	个	9372	2497128	45.0642
74	不要	9297	2506425	45.2320
75	跟	9222	2515647	45.3984
76	得	9093	2524740	45.5625
77	做	9030	2533770	45.7255
78	把	8991	2542761	45.8878
79	上	8919	2551680	46.0487
80	被	8820	2560500	46.2079
81	回来	8770	2569270	46.3661
82	谢谢	8390	2577660	46.5176
83	找	8260	2585920	46.6666
84	睡	8027	2593947	46.8115
85	大	7908	2601855	46.9542
86	让	7901	2609756	47.0968
87	这样	7839	2617595	47.2382
88	再	7787	2625382	47.3788
89	那么	7771	2633153	47.5190
90	啥	7752	2640905	47.6589
91	谁	7682	2648587	47.7975
92	太	7658	2656245	47.9357
93	不会	7592	2663837	48.0727
94	已经	7588	2671425	48.2097
95	一起	7536	2678961	48.3457
96	感觉	7505	2686466	48.4811
97	爱	7461	2693927	48.6158
98	还有	7261	2701188	48.7468
99	看到	7044	2708232	48.8739
100	小	6975	2715207	48.9998
101	快	6879	2722086	49.1239
102	明天	6841	2728927	49.2474
103	那个	6840	2735767	49.3708
104	走	6518	2742285	49.4884
105	应该	6301	2748586	49.6022
106	不能	6298	2754884	49.7158
107	玩	6288	2761172	49.8293
108	哈哈哈哈	6288	2767460	49.9428
109	所以	6151	2773611	50.0538
110	因为	6077	2779688	50.1634
111	好看	6026	2785714	50.2722
112	叫	6004	2791718	50.3805
113	一下	5980	2797698	50.4885
114	但是	5849	2803547	50.5940
115	加油	5786	2809333	50.6984
116	一直	5687	2815020	50.8011
117	一样	5663	2820683	50.9033
118	用	5636	2826319	51.0050
119	可能	5615	2831934	51.1063
120	真	5606	2837540	51.2075
121	不过	5593	2843133	51.3084
122	哪里	5505	2848638	51.4077
123	出来	5458	2854096	51.5062
124	是不是	5345	2859441	51.6027
125	为什么	5302	2864743	51.6984
126	哪	5204	2869947	51.7923
127	下	5149	2875096	51.8852
128	点	5068	2880164	51.9767
129	打	5007	2885171	52.0670
130	比	5006	2890177	52.1574
131	带	4959	2895136	52.2469
132	时间	4894	2900030	52.3352
133	回	4886	2904916	52.4234
134	请	4821	2909737	52.5104
135	回家	4707	2914444	52.5953
136	开心	4684	2919128	52.6798
137	晚上	4666	2923794	52.7640
138	完	4610	2928404	52.8472
139	最	4595	2932999	52.9302
140	好好	4509	2937508	53.0115
141	哇	4483	2941991	53.0924
142	其实	4481	2946472	53.1733
143	一	4433	2950905	53.2533
144	然后	4394	2955299	53.3326
145	最近	4379	2959678	53.4116
146	起来	4266	2963944	53.4886
147	我要	4228	2968172	53.5649
148	一定	4192	2972364	53.6406
149	以后	4174	2976538	53.7159
150	挺	4136	2980674	53.7905
151	好吃	4123	2984797	53.8649
152	有点	4068	2988865	53.9383
153	哈	4055	2992920	54.0115
154	懂	4054	2996974	54.0847
155	只是	4048	3001022	54.1577
156	朋友	4029	3005051	54.2304
157	回去	4019	3009070	54.3030
158	看看	3988	3013058	54.3749
159	开始	3964	3017022	54.4465
160	学校	3958	3020980	54.5179
161	东西	3956	3024936	54.5893
162	好像	3917	3028853	54.6600
163	穿	3879	3032732	54.7300
164	不好	3869	3036601	54.7998
165	哎	3840	3040441	54.8691
166	可爱	3814	3044255	54.9379
167	问题	3813	3048068	55.0067
168	他们	3806	3051874	55.0754
169	更	3781	3055655	55.1437
170	呵呵	3766	3059421	55.2116
171	上班	3760	3063181	55.2795
172	不错	3748	3066929	55.3471
173	咋	3744	3070673	55.4147
174	死	3738	3074411	55.4821
175	别人	3643	3078054	55.5479
176	早	3635	3081689	55.6135
177	听	3624	3085313	55.6789
178	只	3619	3088932	55.7442
179	别	3601	3092533	55.8092
180	不想	3527	3096060	55.8728
181	咯	3526	3099586	55.9365
182	以为	3500	3103086	55.9996
183	钱	3497	3106583	56.0627
184	晚安	3485	3110068	56.1256
185	睡觉	3479	3113547	56.1884
186	里	3461	3117008	56.2509
187	可是	3457	3120465	56.3132
188	手机	3446	3123911	56.3754
189	号	3430	3127341	56.4373
190	但	3394	3130735	56.4986
191	像	3363	3134098	56.5593
192	工作	3361	3137459	56.6199
193	如果	3320	3140779	56.6798
194	下次	3319	3144098	56.7397
195	一点	3315	3147413	56.7996
196	拍	3306	3150719	56.8592
197	吃饭	3293	3154012	56.9186
198	肯定	3291	3157303	56.9780
199	问	3286	3160589	57.0373
200	希望	3277	3163866	57.0965
201	告诉	3260	3167126	57.1553
202	哒	3258	3170384	57.2141
203	月	3250	3173634	57.2728
204	亲	3180	3176814	57.3301
205	这种	3160	3179974	57.3872
206	准备	3157	3183131	57.4441
207	喝	3152	3186283	57.5010
208	很多	3146	3189429	57.5578
209	话	3136	3192565	57.6144
210	记得	3098	3195663	57.6703
211	的话	3076	3198739	57.7258
212	几天	3073	3201812	57.7813
213	换	3039	3204851	57.8361
214	一天	3036	3207887	57.8909
215	老	3033	3210920	57.9456
216	比较	3028	3213948	58.0003
217	昨天	2977	3216925	58.0540
218	发现	2952	3219877	58.1073
219	老师	2947	3222824	58.1605
220	约	2943	3225767	58.2136
221	没事	2938	3228705	58.2666
222	人家	2932	3231637	58.3195
223	瘦	2931	3234568	58.3724
224	只有	2921	3237489	58.4251
225	见	2920	3240409	58.4778
226	需要	2889	3243298	58.5299
227	孩子	2879	3246177	58.5819
228	不用	2857	3249034	58.6335
229	地方	2854	3251888	58.6850
230	姐姐	2849	3254737	58.7364
231	怕	2828	3257565	58.7874
232	照片	2827	3260392	58.8384
233	可	2805	3263197	58.8890
234	事	2798	3265995	58.9395
235	必须	2789	3268784	58.9899
236	厉害	2742	3271526	59.0394
